Security Name,Symbol
Abu Dhabi Islamic Bank- ,ADIB
Abu Qir Fertilizers and Chemical Industries Co SAE,ABUK
Alexandria Containers and goods,ALCN
Alexandria Mineral Oils Company,AMOC
Belton Financial Holding,BTFH
BPE Holding For Financial Investments SAE,BINV
Cairo for Investment and Real Estate Development SAE,CIRA
Cleopatra Hospital,CLHO
Commercial International Bank,COMI
Credit Agricole Egypt,CIEB
E-finance for Digital and Financial Investements,EFIH
Eastern Tobacco,EAST
Edita Food Industries SAE,EFID
EFG Hermes Holdings SAE,HRHO
Egypt Kuwait Holding Co SAE,EKHOA
Egyptian Iron & Steel ,IRON
Egyptian Kuwaiti Holding,EKHO
Egyptian for Tourism Resorts,EGTS
El Sewedy Electric Co SAE,SWDY
Emaar Misr for Development SAE,EMFD
Ezz Steel,ESRS
Fawry Banking and Payment ,FWRY
GB AUTO,GBCO
Ibnsina Pharma Co ,ISPH
Juhayna Food Industries,JUFO
Egyptian Chemical Industries,EGCH
Madinet Nasr for Housing and Development SAE,MNHD
Misr El Gadida for Housing and Development SAE,HELI
Misr Fertilizers Production Co SAE,MFPC
Orascom Construction Ltd,ORAS
Orascom Hotels and Development SAE ,ORHD
Orascom Investment Holding SAE,OIH
Oriental Weavers,ORWE
Palm Hills Development Company,PHDC
Qalaa Holdings SAE,CCAP
Sidi Kerir Petrochemicals,SKPC
Six of October Development & Invest ,OCDI
T M G Holding,TMGH
Telecom Egypt,ETEL